name,category,description,price
FastAPI,Framework,Modern Python web framework for building APIs,Free
FAISS,Vector Store,Facebook AI Similarity Search library,Free
SentenceTransformers,Embeddings,State-of-the-art text embeddings,Free
HuggingFace Hub,LLM,Large Language Model inference API,Free
Tesseract,OCR,Open source optical character recognition,Free
pdfplumber,Parser,PDF text extraction library,Free
python-docx,Parser,Word document processing library,Free
pandas,Data,Data manipulation and analysis library,Free
LangChain,Orchestration,Framework for LLM applications,Free
Streamlit,Frontend,Web app framework for ML projects,Free
Docker,Container,Containerization platform,Free